procdet,pv,tipo,geojson,procedencia,empresa_informante,tejas_match,tejas_found_in
PTA COMPRESORA DE GAS CHLS1,OESTE-EPT-BR-MGF CHLS1 Venteo Original-CHLSN,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.5990378757973,-37.0245621808999]}",YACIMIENTO,YPF S.A.,False,
PTA COMPRESORA DE GAS CHLS2,OESTE-EPT-BR-CHLSN  MGF CHLS2 Venteo K100-CHLSN,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.5895036195963,-37.0301235173864]}",YACIMIENTO,YPF S.A.,False,
PTA COMPRESORA DE GAS EPN-1,OESTE-EPT-BR-MGF EPn1 Venteo-EPn Baja Mza,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.6629763826539,-37.1425603892505]}",YACIMIENTO,YPF S.A.,False,
PTA COMPRESORA DE GAS CHLS3,OESTE-EPT-BR-CHLSN Baja (4 etapas) MGF CHLS3,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.5980060629294,-37.0890008115382]}",YACIMIENTO,YPF S.A.,False,
COMPRESORA RINCON BLANCO,OESTE-ZV-BR-COMPRESORA RB Venteo - EPn,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.175817090886,-37.1179979031807]}",YACIMIENTO,YPF S.A.,False,
GLP EL PORTON,OESTE-EPT-BR-  MGF GLP Venteo Planta-EPn B/A Mza-1,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.6563726042123,-37.1538455939989]}",YACIMIENTO,YPF S.A.,False,
PTC EL PORTON,OESTE-EPT-BR-PTC Venteo - EPn,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.6613626634561,-37.1426342074027]}",YACIMIENTO,YPF S.A.,False,
GLP FILO MORADO,OESTE-EPn-BR-GLP FM Venteo - EPn,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.6515856613491,-37.2762694353861]}",YACIMIENTO,YPF S.A.,False,
Planta Jarilla Quemada,Venteo Planta de Acondicionamiento de Gas,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-67.9559166149621,-38.4641736433189]}",YACIMIENTO,VISTA OIL & GAS ARGENTINA SAU,False,
PUESTO MOLINA LADO NQN,OESTE-RDLS-ZA PTO MOLINA NQN VTO P MOL NQN,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.1151491844872,-37.2166419735482]}",YACIMIENTO,YPF S.A.,False,
DESFILADERO BAYO,OESTE-RDLS-ZA  D BAYO NQN VTO D BAYO NQN,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.0514463611606,-37.3386960496829]}",PLANTA COMPRESORA,YPF S.A.,False,
PLANTA LTS1,OESTE-LLL (S. Blancas) 1 Etapa VTO PTA 17MM (B),CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.7156685248825,-38.4105265551564]}",YACIMIENTO,YPF S.A.,False,
