anio,empresa,provincia,areayacimiento,idareayacimiento,cuenca,indice_tiempo,mes,produccion_gas_promedio_dia_mm3,areapermisoconcesion,idareapermisoconcesion,tejas_match,tejas_found_in
2009,PETROBRAS ARGENTINA S.A.,La Pampa,BANDERITA OESTE,BANO,NEUQUINA,2009-10,10,0.0,JAGÜEL DE LOS MACHOS,JAG,False,
2009,PETROBRAS ARGENTINA S.A.,La Pampa,JAGÜEL DE LOS MACHOS,JAG,NEUQUINA,2009-10,10,31.3915,JAGÜEL DE LOS MACHOS,JAG,False,
2009,PETROBRAS ARGENTINA S.A.,Rio Negro,LAS LAGUNAS,LLNS,NEUQUINA,2009-10,10,0.0,JAGÜEL DE LOS MACHOS,JAG,False,
2009,PETROBRAS ARGENTINA S.A.,Rio Negro,LAS LAGUNAS NORTE,LLAN,NEUQUINA,2009-10,10,0.0,JAGÜEL DE LOS MACHOS,JAG,False,
2009,PETROBRAS ARGENTINA S.A.,Rio Negro,MEDANO,MEDA,NEUQUINA,2009-10,10,0.0,JAGÜEL DE LOS MACHOS,JAG,False,
2009,PETROBRAS ARGENTINA S.A.,Rio Negro,PUESTO MORALES,PLES,NEUQUINA,2009-10,10,0.0,JAGÜEL DE LOS MACHOS,JAG,False,
2009,PETROBRAS ARGENTINA S.A.,Rio Negro,TAPERA AVENDAÑO,TAAV,NEUQUINA,2009-10,10,175.2477,JAGÜEL DE LOS MACHOS,JAG,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,LAGUNA DEL ORO,LAO,AUSTRAL,2009-10,10,1.3855,LAGUNA DEL ORO,LDO,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,LA PAZ,LPZ,AUSTRAL,2009-10,10,888.419,LA PAZ,PAZ,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,LA PORFIADA,LPF,AUSTRAL,2009-10,10,496.3523,LA PORFIADA,LPF,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,AN AIKE,AIKE,AUSTRAL,2009-10,10,0.0,MARIA INES,INE,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,MARIA INES,INE,AUSTRAL,2009-10,10,22.6158,MARIA INES,INE,False,
2009,PETROFARO S.A.,Rio Negro,CATRIEL VIEJO SUR,CVSU,NEUQUINA,2009-10,10,0.0,CATRIEL VIEJO SUR,CVSU,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,MARIA INES SUR,MSUR,AUSTRAL,2009-10,10,0.0,MARIA INES,INE,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,SAN JOSE,SOSE,AUSTRAL,2009-10,10,0.0,MARIA INES,INE,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,CHALI AIKE,CHAI,AUSTRAL,2009-10,10,0.0,MARIA INES OESTE,MIO,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,LA ESPERANZA,LES2,AUSTRAL,2009-10,10,0.0,MARIA INES OESTE,MIO,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,LA ESPERANZA OESTE,LEOE,AUSTRAL,2009-10,10,0.0,MARIA INES OESTE,MIO,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,MARIA INES OESTE,INO,AUSTRAL,2009-10,10,20.7803,MARIA INES OESTE,MIO,False,
2009,PETROBRAS ARGENTINA S.A.,Santa Cruz,SANTA CRUZ,STCZ,AUSTRAL,2009-10,10,0.0,MARIA INES OESTE,MIO,False,
2009,PETROBRAS ARGENTINA S.A.,Neuquén,BORDE BLANCO,BBCO,NEUQUINA,2009-10,10,0.0,PARVA NEGRA ESTE,Z060,False,
2009,PETROBRAS ARGENTINA S.A.,Neuquén,CHIHUIDO,CHHO,NEUQUINA,2009-10,10,0.0,PARVA NEGRA ESTE,Z060,False,
2009,PETROBRAS ARGENTINA S.A.,Neuquén,PARVA NEGRA ESTE,PNET,NEUQUINA,2009-10,10,0.0,PARVA NEGRA ESTE,Z060,False,
