COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,
PRODUCCION POR ENTIDAD FEDERATIVA,,,,,,,,,
"Datos de producción mensual de aceite, gas, condensado y agua por entidad federativa.",,,,,,,,,
Datos a enero - 2025.,,,,,,,,,
Notas: Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd),,,,,,,,,
Este reporte se emite con fines ilustrativos y no puede considerarse como información oficial para la determinación del monto de participaciones en los ingresos petroleros que corresponden a los estados.,,,,,,,,,
"A partir de 2016 se contabiliza la producción de petróleo a una temperatura de 15.56 grados Celsius, de conformidad con lo establecido en los Lineamientos Técnicos en Materia de Medición de Hidrocarburos.",,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,
Las cifras están sujetas a revisión.,,,,,,,,,
,,,,,,,,,
FECHA,ENTIDAD_FEDERATIVA,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOC_MMPCD,GAS_NASOC_MMPCD,N2_MMPCD,AGUA_MBD
05/2001,VERACRUZ DE IGNACIO DE LA LLAVE,62.009949999999996,60.87176,1.13819,219.73261,76.48698,143.24562,,58.51762
06/2001,CAMPECHE,2558.13792,2558.13792,0.0,1563.84373,1563.15373,0.69,,40.62634
06/2001,CHIAPAS,46.11242,46.11242,0.0,595.25071,595.25071,0.0,,12.8512
06/2001,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,9.330350000000001,0.0,9.330350000000001,,0.42031
06/2001,NUEVO LEÓN,0.69208,0.0,0.69208,436.07640000000004,0.0,436.07640000000004,,5.81376
06/2001,PUEBLA,2.72001,2.72001,0.0,10.02021,10.02021,0.0,,0.27009
06/2001,SAN LUIS POTOSÍ,0.56732,0.56732,0.0,0.29414,0.29414,0.0,,0.26275
06/2001,TABASCO,446.68645,445.72564,0.96081,1128.75401,980.8963,147.85772,,54.3207
06/2001,TAMAULIPAS,26.27037,23.66708,2.60329,583.6294399999999,34.27748,549.35196,,32.77993
06/2001,VERACRUZ DE IGNACIO DE LA LLAVE,61.748580000000004,60.58811,1.1604700000000001,219.33994,76.30678,143.03315,,59.45125
07/2001,CAMPECHE,2606.33555,2606.33555,0.0,1591.39926,1590.93474,0.46452,,42.40563
07/2001,CHIAPAS,46.85778,46.85778,0.0,591.06535,591.06535,0.0,,13.15247
07/2001,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,9.370709999999999,0.0,9.370709999999999,,0.45468
07/2001,NUEVO LEÓN,0.73226,0.0,0.73226,446.77058,0.0,446.77058,,5.87209
07/2001,PUEBLA,2.61096,2.61096,0.0,11.61797,11.61797,0.0,,0.26045999999999997
07/2001,SAN LUIS POTOSÍ,0.53772,0.53772,0.0,0.23612,0.23612,0.0,,0.30769
07/2001,TABASCO,442.91646,441.88664,1.02982,1138.14906,993.41004,144.73901,,52.45197
07/2001,TAMAULIPAS,25.929,23.63937,2.2896300000000003,574.46706,33.40367,541.06339,,33.341590000000004
07/2001,VERACRUZ DE IGNACIO DE LA LLAVE,62.15978,60.90473,1.25505,216.74961,75.22924,141.52035,,58.98804
08/2001,CAMPECHE,2599.49038,2599.49038,0.0,1553.65724,1553.05724,0.6,,39.19682
