Numero;Tipo_de_incidente;DSC_GRAVIDADE_TIPO;DSC_QUASE_ACIDENTE_ACIDENTE
1309/000169;SSO - Princípio de incêndio;;
1309/000170;SSO - Quase acidente de alto potencial;;
1309/000170;SSO - Queda de objetos;;
1309/000171;SSO - Descarga significante de fluido de perfuração, completação ou intervenção em poços;;
1309/000171;SSO - Perda de contenção primária significante de fluido de perfuração, completação ou intervenção em poços;;
1309/000172;SSO - Queda de objetos;;
1309/000173;SSO - Quase acidente de alto potencial;;
1309/000173;SSO - Queda de objetos;;
1309/000174;SSO - Queda de objetos;;
1309/000175;SSO - Quase acidente de alto potencial;;
1309/000175;SSO - Queda de objetos;;
1309/000176;SSO - Queda de objetos;;
1309/000177;SSO - Descarga menor de fluido de perfuração, completação ou intervenção em poços;;
1309/000178;SSO - Queda de objetos;;
1309/000179;SSO - Ferimento grave;;
1309/000180;SSO - Queda de objetos;;
1309/000181;Reclassificação;;
1309/000182;SSO - Ferimento grave;;
1309/000183;SSO - Ferimento grave;;
1309/000184;SSO - Quase acidente de alto potencial;;
1309/000185;Reclassificação;;
1309/000186;SSO - Princípio de incêndio;;
1309/000187;SSO - Queda de objetos;;
1309/000188;SSO - Descarga menor de óleo;;
1309/000189;SSO - Quase acidente de alto potencial;;
1309/000191;SSO - Descarga menor de óleo;;
1309/000192;SSO - Descarga menor de óleo;;
1309/000193;Descarga significante de fluido de perfuração, completação ou intervenção em poços;LEVE;Acidente
1309/000194;Descarga menor de óleo;LEVE;Acidente
1309/000195;SSO - Descarga menor de óleo;;
1309/000196;Descarga menor de óleo;LEVE;Acidente
1309/000197;Descarga menor de óleo;LEVE;Acidente
1309/000198;Descarga menor de óleo;LEVE;Acidente
1309/000199;SSO - Quase acidente de alto potencial;;
1309/000199;SSO - Queda de objetos;;
1309/000200;Descarga maior de água oleosa;GRAVE;Acidente
1309/000205;SSO - Queda de objetos;;
1309/000207;SSO - Quase acidente de alto potencial;;
1309/000208;SSO - Perda de contenção primária significante de água oleosa;;
1309/000209;SSO - Princípio de incêndio;;
1309/000209;SSO - Quase acidente de alto potencial;;
1309/000210;SSO - Quase acidente de alto potencial;;
1309/000211;SSO - Descarga menor de óleo;;
1309/000212;SSO - Parada emergencial de nível menor;;
1309/000213;Descarga significante de óleo;MODERADO;Acidente
1309/000213;Perda de contenção primária significante de óleo;LEVE;Quase acidente
1309/000213;Queda de objetos;LEVE;Quase acidente
1309/000214;SSO - Quase acidente de alto potencial;;
1309/000215;SSO - Queda de objetos;;
1309/000216;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1309/000217;Princípio de incêndio;LEVE;Acidente
1309/000218;Reclassificação;;
1309/000218;SSO - Parada emergencial de nível menor;;
1309/000219;SSO - Parada emergencial de nível menor;;
1309/000220;SSO - Descarga menor de fluido de perfuração, completação ou intervenção em poços;;
1309/000221;SSO - Parada emergencial de nível menor;;
1309/000222;SSO - Quase acidente de alto potencial;;
1309/000223;SSO - Queda de objetos;;
