COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,,,,
PRODUCCION POR ASIGNACION,,,,,,,,,,,,
Produccion mensual,,,,,,,,,,,,
Datos a enero - 2025.,,,,,,,,,,,,
Notas: Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd).,,,,,,,,,,,,
El nombre de la asignación corresponde a la última.,,,,,,,,,,,,
"A partir de 2016 se contabiliza la producción de petróleo a una temperatura de 15.56 grados Celsius, de conformidad",,,,,,,,,,,,
con lo establecido en los Lineamientos Técnicos en Materia de Medición de Hidrocarburos.,,,,,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,,,,
Para información geográfica de las asignaciones visite https://mapa.hidrocarburos.gob.mx,,,,,,,,,,,,
,,,,,,,,,,,,
FECHA,ASIGNACION,NOMBRE,UBICACION,CUENCA,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOC_MMPCD,GAS_NASOC_MMPCD,NITROGENO_MMPCD,AGUA_MBD
01/2016,A-0184,A-0184-M - Campo Kuil,Aguas someras,Cuencas del Sureste,35.283320347,35.283320347,0.0,55.18304862,55.18304862,0.0,2.800247,6.432754979
01/2016,A-0186,A-0186-M - Campo Kutz,Aguas someras,Cuencas del Sureste,1.119402026,1.119402026,0.0,0.492419505,0.492419505,0.0,0.065323,0.809477419
01/2016,A-0196,A-0196-M - Campo Lum,Aguas someras,Cuencas del Sureste,1.947233667,1.947233667,0.0,0.393935687,0.393935687,0.0,0.007445,0.102678753
01/2016,A-0203,A-0203-2M - Campo Maloob,Aguas someras,Cuencas del Sureste,378.626949304,378.626949304,0.0,216.877434398,216.877434398,0.0,92.476538,3.093578505
01/2016,A-0205,A-0205-2M - Campo Manik,Aguas someras,Cuencas del Sureste,6.754164084,6.754164084,0.0,5.187875932,5.187875932,0.0,0.040423,0.430228406
01/2016,A-0210,A-0210-2M - Campo May,Aguas someras,Cuencas del Sureste,15.446211759,15.446211759,0.0,100.499329817,100.499329817,0.0,0.193963,1.2076416
01/2016,A-0237,A-0237-M - Campo Nohoch,Aguas someras,Cuencas del Sureste,6.76879284,6.76879284,0.0,2.443036123,2.443036123,0.0,1.67861,14.610170967
01/2016,A-0242,A-0242-M - Campo Och,Aguas someras,Cuencas del Sureste,6.338344863,6.338344863,0.0,12.646614582,12.646614582,0.0,0.102741,1.348857756
01/2016,A-0245,A-0245-2M - Campo Onel,Aguas someras,Cuencas del Sureste,56.349002654,56.349002654,0.0,80.963175149,80.963175149,0.0,0.703003,0.08701634
01/2016,A-0278,A-0278-2M - Campo Pol,Aguas someras,Cuencas del Sureste,2.854564217,2.854564217,0.0,4.17126681,4.17126681,0.0,0.013669,0.431076515
01/2016,A-0308,A-0308-M - Campo Sihil,Aguas someras,Cuencas del Sureste,30.900139842,30.900139842,0.0,12.053158714,12.053158714,0.0,0.912942,21.477441935
01/2016,A-0309,A-0309-M - Campo Sinán,Aguas someras,Cuencas del Sureste,12.327834783,12.327834783,0.0,39.188967963,39.188967963,0.0,0.717785,10.184200684
01/2016,A-0322,A-0322-M - Campo Takín,Aguas someras,Cuencas del Sureste,9.034891524,9.034891524,0.0,1.378774611,1.378774611,0.0,0.022198,4.934632258
01/2016,A-0324,A-0324-M - Campo Taratunich,Aguas someras,Cuencas del Sureste,4.217083238,4.217083238,0.0,17.793677608,17.793677608,0.0,0.159644,1.176967666
01/2016,A-0352,A-0352-2M - Campo Tsimín,Aguas someras,Cuencas del Sureste,70.174188176,70.174188176,0.0,300.62242483,300.62242483,0.0,2.253766,6.391654178
01/2016,A-0358,A-0358-M - Campo Uech,Aguas someras,Cuencas del Sureste,6.10311692,6.10311692,0.0,13.022110596,13.022110596,0.0,0.081557,1.537551754
01/2016,A-0369,A-0369-2M - Campo Xanab,Aguas someras,Cuencas del Sureste,113.893771104,113.893771104,0.0,87.178908492,87.178908492,0.0,1.869115,0.0
01/2016,A-0371,A-0371-2M - Campo Xux,Aguas someras,Cuencas del Sureste,72.542081538,72.542081538,0.0,347.063006338,347.063006338,0.0,2.429441,0.872861922
01/2016,A-0373,A-0373-2M - Campo Yaxché,Aguas someras,Cuencas del Sureste,22.217254973,22.217254973,0.0,10.127010563,10.127010563,0.0,0.24801,1.392683458
