COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,
POZOS TERMINADOS,,,,,
,,,,,
Datos a diciembre - 2024.,,,,,
,,,,,
FECHA,CUENCA,CATEGORIA_POZO,UBICACION,OPERADOR,POZOS_TERMINADOS
12/2004,Tampico-Misantla,Exploración,Aguas someras,Pemex Exploración y Producción,1
12/2004,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,13
12/2004,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,2
01/2005,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,29
01/2005,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,5
01/2005,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,4
01/2005,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,7
01/2005,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,1
01/2005,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,1
01/2005,Sabinas-Burro-Picachos,Exploración,Terrestre,Pemex Exploración y Producción,1
01/2005,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,11
01/2005,Tampico-Misantla,Exploración,Terrestre,Pemex Exploración y Producción,1
01/2005,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,5
01/2005,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,2
02/2005,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,27
02/2005,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,2
02/2005,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,1
02/2005,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,7
02/2005,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,1
02/2005,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,1
02/2005,Golfo de México Profundo,Exploración,Aguas profundas,Pemex Exploración y Producción,1
02/2005,Sabinas-Burro-Picachos,Exploración,Terrestre,Pemex Exploración y Producción,1
02/2005,Tampico-Misantla,Desarrollo,Aguas someras,Pemex Exploración y Producción,1
02/2005,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,1
02/2005,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,5
02/2005,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,2
03/2005,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,42
03/2005,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,2
03/2005,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,4
